tf.Tensor(2437.92045117671, shape=(), dtype=float64)
tf.Tensor(1569.1796416143845, shape=(), dtype=float64)
tf.Tensor(1402.1201140583012, shape=(), dtype=float64)
tf.Tensor(1390.6897140395013, shape=(), dtype=float64)
tf.Tensor(1311.2562204108087, shape=(), dtype=float64)
tf.Tensor(893.9581508745447, shape=(), dtype=float64)
tf.Tensor(769.594959273131, shape=(), dtype=float64)
tf.Tensor(599.7380360289441, shape=(), dtype=float64)
tf.Tensor(1373.1903863557848, shape=(), dtype=float64)
tf.Tensor(1837.933999436676, shape=(), dtype=float64)
tf.Tensor(675.3452026908344, shape=(), dtype=float64)
tf.Tensor(776.2338571852903, shape=(), dtype=float64)
tf.Tensor(756.9224123580286, shape=(), dtype=float64)
tf.Tensor(1404.263515612865, shape=(), dtype=float64)
tf.Tensor(967.4601165545133, shape=(), dtype=float64)
tf.Tensor(589.3709714015351, shape=(), dtype=float64)
tf.Tensor(780.5396151607071, shape=(), dtype=float64)
tf.Tensor(1039.384443797266, shape=(), dtype=float64)
tf.Tensor(1077.3317360970746, shape=(), dtype=float64)
tf.Tensor(938.7749794674826, shape=(), dtype=float64)
tf.Tensor(773.9033242748227, shape=(), dtype=float64)
tf.Tensor(872.6894125030165, shape=(), dtype=float64)
tf.Tensor(723.6660902012428, shape=(), dtype=float64)
tf.Tensor(762.4126361391194, shape=(), dtype=float64)
tf.Tensor(793.7095823602955, shape=(), dtype=float64)
tf.Tensor(802.94610761831, shape=(), dtype=float64)
tf.Tensor(423.5604213311359, shape=(), dtype=float64)
tf.Tensor(1207.0778089375235, shape=(), dtype=float64)
tf.Tensor(980.5481455306617, shape=(), dtype=float64)
tf.Tensor(446.88100298451536, shape=(), dtype=float64)
tf.Tensor(804.4295316060313, shape=(), dtype=float64)
tf.Tensor(1052.1626581837234, shape=(), dtype=float64)
tf.Tensor(889.7178867676827, shape=(), dtype=float64)
tf.Tensor(901.0996131667092, shape=(), dtype=float64)
tf.Tensor(659.7845734438363, shape=(), dtype=float64)
tf.Tensor(1085.6801836695727, shape=(), dtype=float64)
tf.Tensor(858.1025211233922, shape=(), dtype=float64)
tf.Tensor(494.9093014859063, shape=(), dtype=float64)
tf.Tensor(1517.0786961527024, shape=(), dtype=float64)
tf.Tensor(1156.2735930305826, shape=(), dtype=float64)
